"Fournisseur";"Code fournisseur";"Designation fournisseur";"Article propose";"Confiance";"Valider O/N";"Si a corriger: bon article"
"Sapam";"FR";"QUETSCHE HVE3 ALS 6KG I";"Quetsche";"haute";"";""
"Sapam";"";"CAROTTE ALL BO 1KG";"Carotte";"moyenne";"";""
"Sapam";"";"CAROTTE ALL BOQ 1KG";"Carotte";"moyenne";"";""
"Sapam";"";"CAROTTE BE SAC5K";"Carotte";"moyenne";"";""
"Sapam";"";"CAROTTE FR BQ 1KG";"Carotte";"moyenne";"";""
"Sapam";"";"CAROTTE HVE3 ALS 1KG";"Carotte";"moyenne";"";""
"Sapam";"";"CAROTTE HVE3 ALS M SAC5K";"Carotte";"moyenne";"";""
"Sapam";"";"CAROTTE HVE3 ALS M SACSK";"Carotte";"moyenne";"";""
"Sapam";"";"CAROTTE HVE3 ALS SAC10K";"Carotte";"moyenne";"";""
"Sapam";"";"CAROTTE HVE3 FR SACH2K";"Carotte";"moyenne";"";""
"Sapam";"";"FENOUIL ITA";"Fenouil";"moyenne";"";""
"Sapam";"";"POIREAU ALS 10KG";"Poireau";"moyenne";"";""
"Sapam";"";"POIREAU HVE3 ALS 10KG";"Poireau";"moyenne";"";""
"Sapam";"";"POIREAU HVE3 ALS BTE 1KG";"Poireau";"moyenne";"";""
"Sapam";"";"POIREAU HVE3 FR 10KG";"Poireau";"moyenne";"";""
"Sapam";"";"POIREAU NOUVEAU FR 10KG";"Poireau";"moyenne";"";""
"Sapam";"";"POIVRON JAUNE NL GG 5KG";"Poivron";"moyenne";"";""
"Sapam";"";"POIVRON ROUGE NL GG 5KG";"Poivron";"moyenne";"";""
"Sapam";"";"POIVRON TRICOLORE ES SACH500G";"Poivron";"moyenne";"";""
"Sapam";"";"POIVRON TRICOLORE MA SACH500G";"Poivron";"moyenne";"";""
"Sapam";"";"POIVRON TRICOLORE NL SACH500G";"Poivron";"moyenne";"";""
"Sapam";"";"POIVRON VERT POLOG G 5KG";"Poivron";"moyenne";"";""
"Sapam";"BE";"CAROTTE BE SAC5K I";"Carotte";"moyenne";"";""
"Sapam";"DE";"CAROTTE ALL BO 1KG I X12";"Carotte";"moyenne";"";""
"Sapam";"DE";"CAROTTE ALL BOQ 1KG I X12";"Carotte";"moyenne";"";""
"Sapam";"ES";"POIVRON TRICOLORE ES SACH500G I X10";"Poivron";"moyenne";"";""
"Sapam";"FR";"CAROTTE FR BO 1KG I X12";"Carotte";"moyenne";"";""
"Sapam";"FR";"CAROTTE FR BOQ 1KG I X12";"Carotte";"moyenne";"";""
"Sapam";"FR";"CAROTTE HVE3 ALS 1KG I X10";"Carotte";"moyenne";"";""
"Sapam";"FR";"CAROTTE HVE3 ALS M SAC5K I";"Carotte";"moyenne";"";""
"Sapam";"FR";"CAROTTE HVE3 ALS M SAC5SK I";"Carotte";"moyenne";"";""
"Sapam";"FR";"CAROTTE HVE3 ALS M SACSK I";"Carotte";"moyenne";"";""
"Sapam";"FR";"CAROTTE HVE3 ALS SAC10K I";"Carotte";"moyenne";"";""
"Sapam";"FR";"CAROTTE HVE3 FR SACH2K I CART X6";"Carotte";"moyenne";"";""
"Sapam";"FR";"CAROTTE NLLE FR BQ 1KG I X12";"Carotte";"moyenne";"";""
"Sapam";"FR";"POIREAU ALS 10KG I";"Poireau";"moyenne";"";""
"Sapam";"FR";"POIREAU HVE3 ALS 10KG I";"Poireau";"moyenne";"";""
"Sapam";"FR";"POIREAU HVE3 ALS BTE 1KG I X10";"Poireau";"moyenne";"";""
"Sapam";"FR";"POIREAU HVE3 FR 10KG I";"Poireau";"moyenne";"";""
"Sapam";"FR";"POIREAU NOUVEAU FR 10KG I";"Poireau";"moyenne";"";""
"Sapam";"IT";"FENOUIL ITA I";"Fenouil";"moyenne";"";""
"Sapam";"MA";"POIVRON TRICOLORE MA SACH500G I X10 P O.1 1";"Poivron";"moyenne";"";""
"Sapam";"NL";"POIVRON JAUNE NL GG 5KG I";"Poivron";"moyenne";"";""
"Sapam";"NL";"POIVRON ROUGE NL GG 5KG I";"Poivron";"moyenne";"";""
"Sapam";"NL";"POIVRON TRICOLORE NL SACH500G I X10";"Poivron";"moyenne";"";""
"Sapam";"PL";"POIVRON VERT POLOG G 5KG I";"Poivron";"moyenne";"";""
"Sapam";"";"BANANE CAVENDISH C.IVO P19";"Banane";"moyenne";"";""
"Sapam";"";"BANANE CAVENDISH CM P19";"Banane";"moyenne";"";""
"Sapam";"";"CITRON EUREKA AR 4";"Citron";"moyenne";"";""
"Sapam";"";"CITRON EUREKA ZA 3";"Citron";"moyenne";"";""
"Sapam";"";"CITRON EUREKA ZA 4";"Citron";"moyenne";"";""
"Sapam";"";"CITRON PRIMOFIORI ES 3";"Citron";"moyenne";"";""
"Sapam";"";"CITRON PRIMOFIORI ES 4";"Citron";"moyenne";"";""
"Sapam";"";"HMENTHE ES";"Menthe";"moyenne";"";""
"Sapam";"";"HMENTHE FR BOQ1OOG";"Menthe";"moyenne";"";""
"Sapam";"";"ORANGE NAVEL LATE ZA 4";"Orange";"moyenne";"";""
"Sapam";"";"ORANGE NAVELINAS ES 4";"Orange";"moyenne";"";""
"Sapam";"AR";"CITRON EUREKA AR 4 I X45";"Citron";"moyenne";"";""
"Sapam";"CI";"BANANE CAVENDISH C.IVO P19 I";"Banane";"moyenne";"";""
"Sapam";"CM";"BANANE CAVENDISH CM P19 I";"Banane";"moyenne";"";""
"Sapam";"ES";"CITRON ES 3 I";"Citron";"moyenne";"";""
"Sapam";"ES";"CITRON PRIMOFIORI ES 3 I PLT 1R";"Citron";"moyenne";"";""
"Sapam";"ES";"CITRON PRIMOFIORI ES 4 I LULU";"Citron";"moyenne";"";""
"Sapam";"ES";"CITRON PRIMOFIORI ES 4 I MADEMOISE";"Citron";"moyenne";"";""
"Sapam";"ES";"CITRON PRIMOFIORI ES 4 I MADEMOTSE";"Citron";"moyenne";"";""
"Sapam";"ES";"HMENTHE ES I POLY X20";"Menthe";"moyenne";"";""
"Sapam";"ES";"ORANGE NAVELINAS ES 4 I MADEMOISE";"Orange";"moyenne";"";""
"Sapam";"ES";"ORANGE NAVELINAS ES 4 I MADEMOTSE";"Orange";"moyenne";"";""
"Sapam";"FR";"HMENTHE FR BOQ1OOG I AUDA";"Menthe";"moyenne";"";""
"Sapam";"ZA";"CITRON EUREKA ZA 3 I MADEMOISE";"Citron";"moyenne";"";""
"Sapam";"ZA";"CITRON EUREKA ZA 4 I MADEMOISE";"Citron";"moyenne";"";""
"Sapam";"ZA";"CITRON EUREKA ZA 4 I MADEMOTSE";"Citron";"moyenne";"";""
"Sapam";"ZA";"CITRON EUREKA ZA 4 I";"Citron";"moyenne";"";""
"Sapam";"ZA";"ORANGE NAVEL LATE ZA 4 I MADEMOISE";"Orange";"moyenne";"";""
"Sapam";"ZA";"ORANGE NAVEL LATE ZA 4 I MADEMOTSE";"Orange";"moyenne";"";""
"Sapam";"ZA";"ORANGE NAVEL ZA 4 I MADEMOISE";"Orange";"moyenne";"";""
"Sapam";"ZA";"ORANGE NAVEL ZA 6 I X88";"Orange";"moyenne";"";""
"Sapam";"";"HANETH FR BQ100G";"Aneth";"moyenne";"";""
"Sapam";"";"MELON BRODE HVE3 MIDI 975/1250G";"Melon";"moyenne";"";""
"Sapam";"";"MELON CHAR JAUNE FR 750/975G";"Melon";"moyenne";"";""
"Sapam";"";"MELON CHAR JAUNE FR 975/1250G";"Melon";"moyenne";"";""
"Sapam";"";"NAVET BLANC ALS SAC5SK";"Navet";"moyenne";"";""
"Sapam";"";"NAVET BLANC FR SAC5K";"Navet";"moyenne";"";""
"Sapam";"";"NAVET BLANC FR SACSK";"Navet";"moyenne";"";""
"Sapam";"";"NAVET BLANC HVE3 ALS SAC5K";"Navet";"moyenne";"";""
"Sapam";"";"POIRE CONFERENCE HVE3 ALS 70-75";"Poire";"moyenne";"";""
"Sapam";"";"POIRE DOY DE COMICE BE 60-65 7KG";"Poire";"moyenne";"";""
"Sapam";"";"POIRE DOY DE COMICE NL 70-75";"Poire";"moyenne";"";""
"Sapam";"";"POIRE GUYOT MIDI 60-65";"Poire";"moyenne";"";""
"Sapam";"";"POIRE GUYOT MIDI 65-70";"Poire";"moyenne";"";""
"Sapam";"";"POIRE ROCHA PORTU 60-65";"Poire";"moyenne";"";""
"Sapam";"BE";"POIRE DOY DE COMICE BE 60-65 7KG I PLT";"Poire";"moyenne";"";""
"Sapam";"FR";"HANETH FR BQ100G I AUDA";"Aneth";"moyenne";"";""
"Sapam";"FR";"MELON BRODE HVE3 MIDI 975/1250G I X12";"Melon";"moyenne";"";""
"Sapam";"FR";"MELON CHAR JAUNE FR 750/975G I X12";"Melon";"moyenne";"";""
"Sapam";"FR";"MELON CHAR JAUNE FR 975/1250G I X12";"Melon";"moyenne";"";""
"Sapam";"FR";"NAVET BLANC ALS SAC5SK I";"Navet";"moyenne";"";""
"Sapam";"FR";"NAVET BLANC FR SAC5K I";"Navet";"moyenne";"";""
"Sapam";"FR";"NAVET BLANC FR SACSK I";"Navet";"moyenne";"";""
"Sapam";"FR";"NAVET BLANC HVE3 ALS SAC5K I";"Navet";"moyenne";"";""
"Sapam";"FR";"NAVET BLANC HVE3 FR 5KG I";"Navet";"moyenne";"";""
"Sapam";"FR";"POIRE CONFERENCE HVE3 ALS 70-75 I PLT 1R";"Poire";"moyenne";"";""
"Sapam";"FR";"POIRE GUYOT BIO FR 60-65 II PLT *";"Poire";"moyenne";"";""
"Sapam";"FR";"POIRE GUYOT MIDI 60-65 I PLT";"Poire";"moyenne";"";""
"Sapam";"FR";"POIRE GUYOT MIDI 65-70 I CC";"Poire";"moyenne";"";""
"Sapam";"FR";"POIRE GUYOT MIDI 65-70 I PLT";"Poire";"moyenne";"";""
"Sapam";"NL";"POIRE DOY DE COMICE NL 70-75 I";"Poire";"moyenne";"";""
"Sapam";"PT";"POIRE ROCHA PORTU 60-65 I X32";"Poire";"moyenne";"";""
"Wolfberger";"51067";"GOURMANDISE CREME QUETSCHE CAN 16,0";"Gourmandise Creme Quetsche Can";"haute";"";""
"Wolfberger";"51074";"GOURMANDISE LIQUEUR FRAMBOISE 18,0";"Gourmandise Liqueur Framboise";"haute";"";""
"Wolfberger";"52660";"GOURMANDISE LIQUEUR SAPIN 18,0";"Gourmandise Liqueur Sapin";"haute";"";""
"Wolfberger";"51069";"GOURMANDISE GRIOTTISSIMO 1L 15,0";"Gourmandise Griottissimo";"haute";"";""
"Wolfberger";"44907";"AMER FDB ENVIE D'ETE 15%70CL W 15,0";"AMER FDB ENVIE D'ETE 1";"haute";"";""
"Wolfberger";"5753";"CARTON 6 BT EDV 1L 2 RHUM BRUN PATISSIER 1L 41% W 41,0";"Rhum Brun Patissier";"haute";"";""
"Wolfberger";"5753";"CARTON 6 BT EDV 1L 3 RHUM BRUN PATISSIER 1L 41% W 41,0";"Rhum Brun Patissier";"haute";"";""
"Wolfberger";"5760";"CARTON 6 BT EDV 1L 1 RHUM BRUN PATISSIER 1L 54% W 54,0";"Rhum Brun Patissier";"haute";"";""
"Wolfberger";"5760";"CARTON 6 BT EDV 1L 2 RHUM BRUN PATISSIER 1L 54% W 54,0";"Rhum Brun Patissier";"haute";"";""
"Wolfberger";"8121";"L 1 RHUM BRUN PATISSIER 3L 41% 41,0";"Rhum Brun Patissier";"haute";"";""
"Wolfberger";"41722";"AMER FDB FRAMBOISE 15%70CL W 15,0";"Amer Fdb Framboise";"haute";"";""
"Wolfberger";"41725";"AMER FDB GINGEMBRE 15%70CL W 15,0";"Amer Fdb Gingembre";"haute";"";""
"Wolfberger";"41728";"AMER FDB MANDARINE 15%70CL W 15,0";"Amer Fdb Mandarine";"haute";"";""
"Wolfberger";"43235";"AMER FDB NOEL 15%70 15,0";"Amer Fdb Noel";"haute";"";""
"Wolfberger";"6518";"FRAMBOISE EDV 70CL 45% W 45,0";"Framboise Edv";"haute";"";""
"Wolfberger";"6322";"GRIOTTISSIMO 5L 15% W 15,0";"Griottissimo";"haute";"";""
"Wolfberger";"39646";"EDELZWICKER WOLF LES FRIANDS 12,0 CRD";"Edelzwicker";"haute";"";""
"Wolfberger";"53262";"EDELZWICKER WOLF LES FRIANDS 12,1 CRD";"Edelzwicker";"haute";"";""
"Wolfberger";"35529";"QUETSCH IG ALSACE 70CL 45% W 45,0";"Quetsch Ig";"haute";"";""
"Wolfberger";"49395";"PINOT NOIR WILLM CUVEE LINA 22 12,0 CRD";"Pinot Noir";"haute";"";""
"Wolfberger";"49395";"PINOT NOIR WILLM CUVEE LINA 22 12,1 CRD";"Pinot Noir";"haute";"";""
"Wolfberger";"50454";"PINOT NOIR WILLM CUVEE LINA 23 13,1 CRD";"Pinot Noir";"haute";"";""
"Wolfberger";"54467";"QUETSCH IG WOLFBERGER 1874 45,0";"Quetsch Ig";"haute";"";""
"Wolfberger";"33334";"KIRSCH IG ALSACE 70CL 45° W 45,0";"Kirsch Ig";"haute";"";""
"Wolfberger";"35577";"MIRABELLE IG ALSACE 70CL 45°W 45,0";"Mirabelle";"haute";"";""
"Wolfberger";"52765";"MIRABELLE MBP 24 70CL 45% 45,0";"Mirabelle";"haute";"";""
"Wolfberger";"54466";"MIRABELLE IG WOLFBERGER 1874 45,0";"Mirabelle";"haute";"";""
"Wolfberger";"39642";"RIESLING WOLF LES FRIANDS 12,5 CRD";"Riesling";"haute";"";""
"Wolfberger";"39642";"RIESLING WOLF LES FRIANDS 13,0 CRD";"Riesling";"haute";"";""
"Wolfberger";"53208";"RIESLING WOLF LES FRIANDS 11,9 CRD";"Riesling";"haute";"";""
"Wolfberger";"54471";"COING WOLFBERGER 1874 45,0";"Coing";"moyenne";"";""
"Wolfberger";"54539";"POIRE WILLIAMS WOLF 1874 VNGO 45,0";"Poire";"moyenne";"";""
"Wolfberger";"6523";"POIRE WILLIAMS EDV 70CL 45%W 45,0";"Poire";"moyenne";"";""
"Zeyssolff";"";"PINOT BLANC AUXERROIS AOC ALSACE 100cl";"Pinot Blanc Auxerrois";"haute";"";""
"Zeyssolff";"";"PINOT BLANC AUXERROIS BIO AOC ALSACE 100cl";"Pinot Blanc Auxerrois";"haute";"";""
"Zeyssolff";"";"CONSIGNES CFP";"Consignes Cfp";"haute";"";""
"Zeyssolff";"";"EDELZWICKER AOC ALSACE 100cl";"Edelzwicker";"haute";"";""
"Zeyssolff";"";"PINOT GRIS AOC ALSACE BIO 2024 75cl";"Pinot Gris";"haute";"";""
"Zeyssolff";"";"PINOT NOIR AOC ALSACE 100cl";"Pinot Noir";"haute";"";""
"Zeyssolff";"";"PINOT NOIR AOC ALSACE BIO 2024 75cl";"Pinot Noir";"haute";"";""
"Zeyssolff";"";"PINOT NOIR AOC ALSACE BIO bouteille 100cl";"Pinot Noir";"haute";"";""
"Zeyssolff";"";"RIESLING AOC ALSACE 100cl";"Riesling";"haute";"";""
"Zeyssolff";"";"RIESLING BIO AOC ALSACE 100cl";"Riesling";"haute";"";""
